Time (sec), Avg. Response Time (us), Standard deviation (us)
1132,6705.0,2154.9
1133,6746.0,2670.17
1134,6586.0,1387.97
1135,6644.0,897.29
1136,6608.0,833.91
1137,6511.0,1519.6
1138,6596.0,2047.21
1139,6614.0,1261.08
1140,6643.0,1723.38
1141,6606.0,856.33
1142,6663.0,2064.57
1143,6630.0,1665.54
1144,6602.0,909.48
1145,6673.0,2128.62
1146,6728.0,2361.07
1147,7023.0,2464.3
1148,6722.0,1595.93
1149,6947.0,2135.15
1150,6751.0,1716.59
1151,7043.0,2372.89
1152,6552.0,889.5
1153,6594.0,1342.42
1154,6666.0,2271.18
1155,6662.0,1805.2
1156,6649.0,2368.7
1157,6602.0,2211.39
1158,6709.0,2505.58
1159,6891.0,2291.86
1160,6720.0,1624.42
1161,6714.0,1946.26
1162,6542.0,881.21
1163,6558.0,843.09
1164,6603.0,951.7
1165,6569.0,872.77
1166,6585.0,1891.54
1167,6701.0,1520.49
1168,6674.0,1859.71
1169,6721.0,2289.58
1170,6566.0,876.68
